Date,Temp_Average,High_Temp_Average,Low_Temp_Average,Precipitation,Wind_Average,High_Wind,field_elevation_Average,High_field_elevation,Low_field_elevation,Sea_Level_Average,High_Sea_Level,Low_Sea_Level,Humidity_Average,Low_Humidity,Sunshine_Sum,Global_Solar_Radiation_Sum,year,month,Baechu_Wholesale,Pogi
 2017-04,13.9,20,9.1,61.6,2.6,8.1,1002.6,1015.4,985.3,1012.8,1025.8,995.4,52,10,259.7,488.91,2017,4,"7,600","3,332"
 2017-05,19.5,25.4,14.4,16.1,2.4,8.5,1002,1012.8,989.4,1012,1022.9,999.1,52,7,301.5,645.35,2017,5,"4,105","1,920"
 2017-06,23.3,28.8,18.7,66.6,2.4,6.4,998.4,1006,986.8,1008.2,1016,996.4,57,14,285.2,625.27,2017,6,"4,595","1,910"
 2017-07,26.9,30.4,24.3,621,2,7.3,997.5,1003.6,990,1007.2,1013.3,999.7,77,38,123.1,375.27,2017,7,"8,476","3,676"
 2017-08,25.9,29.7,22.9,297,2.3,7.7,997.7,1007.2,986.5,1007.4,1017.1,995.9,71,19,166.2,411.09,2017,8,"14,045","4,848"
 2017-09,22.1,27.4,17.5,35,2,6.8,1003.1,1012.6,994.4,1013,1022.7,1004,61,20,233.7,445.23,2017,9,"16,714","5,598"
 2017-10,16.4,22.5,11.6,26.5,1.9,7.6,1010.7,1018.8,999.3,1020.9,1029.2,1008.9,56,16,222.7,240.97,2017,10,"7,375","3,197"
 2017-11,5.6,10.5,1.3,40.7,2.1,6.7,1012.4,1020.6,999.9,1023,1031.4,1010,54,13,163.9,145.34,2017,11,"5,864","2,077"
 2017-12,-1.9,2.2,-5.7,34.8,1.8,6.7,1015.1,1023.1,997.7,1026,1034.4,1008.3,56,14,176.1,151.69,2017,12,"6,289","2,128"
 2018-01,-4,0.1,-7.3,8.5,1.9,7.2,1013.5,1022.4,996.8,1024.6,1033.8,1007.5,48,16,186.7,158.99,2018,1,"6,591","2,611"
 2018-02,-1.6,3.3,-5.9,29.6,2.2,6.3,1012.8,1019.9,991.8,1023.8,1031.2,1002.3,45,13,194.2,309.28,2018,2,"8,444","3,563"
 2018-03,8.1,13.6,3.8,49.5,1.9,6.9,1009.9,1020.4,991.8,1020.3,1031.2,1002.4,59,13,209.1,446.41,2018,3,"8,381","3,681"
 2018-04,13,18.5,8.1,130.3,2,8.8,1005.4,1015.1,993.7,1015.6,1025.3,1003.6,55,8,223.4,513.19,2018,4,"8,048","3,763"
 2018-05,18.2,23.3,13.4,222,1.7,8,1001.3,1014.1,990.8,1011.2,1024.4,1000.8,63,22,231.6,561.24,2018,5,"6,225","2,937"
 2018-06,23.1,28.4,18.9,171.5,1.7,5.7,997.8,1006.7,987.5,1007.6,1016.7,997,63,19,236.6,602.59,2018,6,"5,342","2,511"
 2018-07,27.8,32.1,24.2,185.6,1.5,4.2,998.9,1006.3,985.6,1008.5,1016.3,995.2,68,29,228.5,561.1,2018,7,"9,591","3,091"
 2018-08,28.8,33.3,25.2,202.6,1.7,7.1,997.4,1004.3,980.6,1007,1014.1,990.1,65,25,232.5,517.16,2018,8,"16,864","5,440"
 2018-09,21.5,26,17.6,68.5,1.6,5.7,1003.3,1013.1,985.8,1013.2,1023.1,995.3,61,23,218.7,470.96,2018,9,"14,471","6,061"
 2018-10,13.1,18.6,8.5,120.5,1.5,6.1,1008.6,1017.3,991.1,1018.9,1027.7,1001,59,16,241.9,403.34,2018,10,"8,381","3,283"
 2018-11,7.8,13.2,3.6,79.1,1.4,5.6,1013.1,1019.7,994.6,1023.7,1030.6,1004.7,58,12,177.6,265.35,2018,11,"7,318","2,523"
 2018-12,-0.6,4.1,-4.7,16.4,1.8,5.9,1016.8,1028.3,1003.4,1027.8,1039.7,1013.7,46,16,199.9,253.64,2018,12,"6,263","1,965"
 2019-01,-0.9,4.1,-5.1,0,1.8,6.8,1015.4,1025.9,1006.9,1026.4,1037.1,1017.7,46,11,215,285.25,2019,1,"4,409","2,220"
 2019-02,1,6,-3.2,23.8,1.8,5.5,1013.7,1025.1,997.5,1024.5,1036.2,1008,47,15,190.5,319.96,2019,2,"3,882","1,870"
 2019-03,7.1,12.4,2.7,26.8,2.1,7.2,1006.6,1015.6,989.4,1017.1,1026.3,999.6,51,10,203.8,417.72,2019,3,"3,500","1,942"
 2019-04,12.1,17.6,7.2,47.3,1.9,7.3,1004.8,1014.4,993.9,1015.1,1025.1,1003.6,51,10,221.6,502.12,2019,4,"3,045","2,090"
 2019-05,19.4,25.6,13.7,37.8,2.1,6.1,1001.6,1009.6,990,1011.5,1019.7,999.8,47,12,314,701.39,2019,5,"3,643","2,045"
 2019-06,22.5,27.7,18.1,74,1.7,5.3,997.2,1006.2,984.8,1007,1016.1,994.3,61,22,235.1,589.02,2019,6,"5,395","2,211"
 2019-07,25.9,30.1,22.7,194.4,1.8,5.9,996.2,1002.4,988.2,1005.9,1012.2,997.7,69,24,150.1,426.99,2019,7,"7,065","2,696"
 2019-08,27.2,31.6,23.6,190.5,1.6,7.5,996.9,1005.7,981.2,1006.6,1015.6,990.8,69,28,239.3,486.24,2019,8,"8,310","3,169"
 2019-09,22.6,27.1,19,139.8,2.2,11.8,1004.7,1014.9,978.3,1014.6,1024.9,987.7,65,24,168.9,386.78,2019,9,"13,947","5,083"
 2019-10,16.4,21.8,11.8,55.5,2.1,6.7,1008.8,1019.3,992.1,1018.9,1029.6,1002,62,23,236.5,395.43,2019,10,"15,571","6,069"
 2019-11,7.6,12.9,3.1,78.8,2.2,7,1012.2,1023.6,994.4,1022.7,1034.5,1004.7,56,14,203.2,284.28,2019,11,"9,905","3,930"
 2019-12,1.4,5.3,-2.6,22.6,2.1,7.5,1014.9,1028.1,1002.8,1025.8,1039.5,1013.1,58,17,164.2,223.25,2019,12,"9,750","3,401"
 2020-01,1.6,5.9,-1.7,60.5,2.1,7,1012.8,1022.8,987.1,1023.6,1034,997.4,56,17,177.9,252.58,2020,1,"10,342","3,705"
 2020-02,2.5,7.2,-1.3,53.1,2.3,8.2,1014,1025.3,1000.7,1024.8,1036.7,1011.4,58,14,185,313.44,2020,2,"10,100","3,673"
 2020-03,7.7,13.3,2.6,16.3,2.5,8.2,1007.1,1016.6,990.5,1017.6,1027.5,1000.7,46,11,262.9,515.18,2020,3,"9,682","3,760"
 2020-04,NA,NA,NA,NA,NA,7.4,NA,1016,1001.5,NA,1026.4,1011.5,NA,10,147.5,313.97,2020,4,"9,182","3,616"
